Date,Title,News_Url,Image_Url,News_Content
"December 1, 2022",Record-breaking England put Pakistan to the sword in first Test,https://92newshd.tv/about/record-breaking-england-put-pakistan-to-the-sword-in-first-test,https://92newshd.tv/wp-content/uploads/2022/12/6301463.webp,"RAWALPINDI (AFP) - Four England batsmen scored hundreds Thursday as the visitors piled up a record 506-4 on the opening day of the first Test against Pakistan in Rawalpindi. Openers Zak Crawley (122) and Ben Duckett (107) set the tone with quick-fire tons against a hapless Pakistan bowling attack before Ollie Pope (108)and Harry Brook (101 not out) compounded their misery. Ben Stokes was also not out, on 34, when bad light stopped play, having helped England break a 112-year-old record for the most runs on the first day of a Test -- beating Australia's 494-6 against South Africa at Sydney. After winning the toss England went straight into ""Bazball"" mode, the brand of freewheeling, aggressive batting taken from the nickname of head coach Brendon McCullum. England's fiery batting -- with 73 boundaries and three sixes -- lifted the gloom over the start, which hung in the balance Wednesday after several of the tourists came down with a mystery virus. As if the punishment from the top three wasn't enough, Brook -- playing only his second Test -- cracked six consecutive boundaries off one over from debutant spinner Saud Shakeel. He is only the fourth batsman to score six consecutive boundaries in a Test, following West Indians Chris Gayle and Ramnaresh Sarwan, and Sri Lanka's Sanath Jayasuriya. Brook reached his maiden century off just 80 balls, capping a highly entertaining day for a crowd of 6,000 that included around 150 ""Barmy Army"" fans. Brook added 176 for the fourth wicket with Pope, who fell to pacer Mohammad Ali. Pakistan had briefly fought back in the second session when they dismissed Duckett, Crawley and Joe Root (23) in the space of 53 runs, but that was shortlived. Debutant leg-spinner Zahid Mahmood was the most successful Pakistan bowler with 2-160 on a pitch similar to the one used against Australia earlier this year. That pitch was declared ""below average"" by the match referee after it yielded 1,187 runs for the loss of just 14 wickets over five days. Duckett, who hit his maiden hundred after being recalled to the Test side following an absence of six years, was the first to go when he missed a reverse sweep off Mahmood and was trapped leg-before. West Indian umpire Joel Wilson initially ruled it not out, only to change his decision on Pakistan's review. Duckett, who hit 15 boundaries, put on 233 for the first wicket with Crawley -- an England record for the first wicket against Pakistan. It beat the 1962 stand of 198 between openers Geoff Pullar and Bob Barber in Dhaka, then East Pakistan. Crawley was bowled off a sharp incoming delivery by Haris Rauf in the next over, the Test debutant's first wicket. The lanky Crawley hit 21 boundaries in his quickfire 111-ball innings, his third Test hundred. Former skipper Root also fell leg-before to Mahmood, unsuccessfully challenging the decision. Crawley showed his intent right from the start, hitting three boundaries off Pakistan fast bowler Naseem Shah's first over of the match, and bringing up his half-century off just 38 balls. He could have become the first England batter to score a century before lunch on day one of a Test but was left nine short. England are on their first Test tour to Pakistan in 17 years. England 1st innings Z. Crawley b Rauf                       122 B. Duckett lbw b Mahmood         107 O. Pope lbw b Ali                         108 J. Root lbw b Mahmood               23 H. Brook not out                          101 B. Stokes not out                         34 Extras: (b2, lb6, nb2, w1)            11 Total: (for four wkts; 75 overs)    506 Still to bat: W. Jacks, L. Livingstone, O. Robinson, J. Leach, J. Anderson Fall of wickets: 1-233 (Duckett), 2-235 (Crawley), 3-286 (Root), 4-462 (Pope) Bowling: Naseem 15-0-96-0, Ali 17-1-96-1 (nb2), Rauf 13-1-78-1 (w1), Mahmood 23-1-160-2, Salman 5-0-38-0, Shakeel 2-0-30-0 Toss: England Umpires: Joel Wilson (WIS) and Ahsan Raza (PAK) TV umpire: Marias Erasmus (RSA) Match referee: Andy Pycroft (ZIM). "
"December 1, 2022",China softens tone on COVID severity after protests,https://92newshd.tv/about/china-softens-tone-on-covid-severity-after-protests,https://92newshd.tv/wp-content/uploads/2022/12/6301457.webp,"BEIJING (Reuters) - China is softening its tone on the severity of COVID-19 and easing some coronavirus restrictions even as its daily case toll hovers near record highs, after anger over the world's toughest curbs fuelled protests across the country. Several cities in the world's second-largest economy, while still reporting new infections, are breaking with practice by lifting district lockdowns and allowing businesses to reopen. Health authorities announcing the relaxation of measures did not mention the protests, which ranged from candle-lit vigils in Beijing to clashes with the police on the streets of Guangzhou on Tuesday and at an iPhone factory in Zhengzhou last week. The demonstrations marked the biggest show of civil disobedience in mainland China since President Xi Jinping took power a decade ago and come as the economy is set to enter a new era of much slower growth than seen in decades. Despite near-record case numbers, Vice Premier Sun Chunlan, who oversees COVID efforts, said the virus's ability to cause disease was weakening, state media reported. ""The country is facing a new situation and new tasks in epidemic prevention and control as the pathogenicity of the Omicron virus weakens, more people are vaccinated and experience in containing the virus is accumulated,"" Sun said in comments reported in state media. Sun also urged further ""optimisation"" of testing, treatment and quarantine policies. The mention of a weakening pathogenicity contrasts with earlier messages from authorities about the deadliness of the virus. Less than 24 hours after violent protests in Guangzhou, authorities in at least seven districts of the sprawling manufacturing hub north of Hong Kong, said they were lifting temporary lockdowns. One district said it would allow in-person classes in schools to resume and would reopen restaurants and other businesses including cinemas. Some changes are being implemented with little fanfare. A community of thousands in east Beijing is allowing infected people with mild symptoms to isolate at home, according to new rules issued by the neighbourhood committee and seen by Reuters. Neighbours on the same floor and three stories above and below the home of a positive case should also quarantine at home, a committee member said. That is a far cry from quarantine protocols earlier in the year when entire communities were locked down, sometimes for weeks, after even just one positive case was found. Another community nearby is holding an online poll this week on the possibility of positive cases isolating at home, residents said. ""I certainly welcome the decision by our residential community to run this vote regardless of the outcome,"" said resident Tom Simpson, managing director for China at the China-Britain Business Council. He said his main concern was being forced to go into a quarantine facility, where ""conditions can be grim to say the least"". Prominent nationalist commentator Hu Xijin said in a social media post on Wednesday that many asymptomatic carriers of coronavirus in Beijing were already quarantining at home. The southwestern city of Chongqing will allow close contacts of people with COVID, who meet certain conditions, to quarantine at home, while Zhengzhou in central China announced the ""orderly"" resumption of businesses, including supermarkets, gyms and restaurants. National health officials said this week authorities would respond to ""urgent concerns"" raised by the public and that COVID rules should be implemented more flexibly, according to a region's conditions. Expectations have grown around the world that China, while still trying to contain infections, could look to re-open at some point next year once it achieves better vaccination rates among its elderly. Health experts warn of widespread illness and death if COVID is let loose before vaccination is ramped up. Chinese stocks and markets around the world dipped initially after the weekend protests in Shanghai, Beijing and other cities, but later recovered on hopes that public pressure could lead to a new approach by authorities. More COVID outbreaks could weigh on China's economic activity in the near term, the International Monetary Fund said on Wednesday, adding it saw scope for a safe recalibration of policies that could allow economic growth to pick up in 2023. China's strict containment measures have dampened domestic economic activity this year and spilled over to other countries through supply chain interruptions. Following downbeat data in an official survey on Wednesday, the Caixin/S&P Global manufacturing purchasing managers' index showed factory activity shrank in November for a fourth consecutive month.  While the change in tone on COVID appears a response to the public discontent with strict measures, authorities are also seeking out for questioning those present at the demonstrations. China Dissent Monitor, run by US government-funded Freedom House, estimated at least 27 demonstrations took place across China from Saturday to Monday. Australia's ASPI think tank estimated 43 protests in 22 cities."
"December 1, 2022","Asif Zardari announces to table no-confidence motion in Punjab, Khyber Pakhtunkhwa",https://92newshd.tv/about/asif-zardari-announces-to-table-no-confidence-motion-in-punjab-khyber-pakhtunkhwa,https://92newshd.tv/wp-content/uploads/2022/12/6301468.webp,"KARACHI (92 News) - Former president Asif Zardari has hinted at a change in Khyber Pakhtunkhwa after Punjab, saying that they will bring a no-confidence motion in Punjab and Khyber Pakhtunkhwa. In an interview with a private channel on Thursday, he said that some friends have gone astray and he will bring him back. Asif Zardari said that the government will conduct the elections if Imran Khan dissolved both assemblies. ""We have a suitable strategy to save the Punjab Assembly. Early elections are not favourable for the country or democracy,"" he added."
"December 1, 2022","Paying political price for difficult decisions, says Shahid Khaqan Abbasi",https://92newshd.tv/about/paying-political-price-for-difficult-decisions-says-shahid-khaqan-abbasi,https://92newshd.tv/wp-content/uploads/2022/12/6301467.webp,"ISLAMABAD (92 News) - PML-N leader Shahid Khaqan Abbasi has said that they are paying political price for the difficult decisions. Expressing his views 92 News Programme 'Ho Kaya Raha Hai' on Thursday, he said that Nawaz Sharif was disqualified lifetime. ""There exist some decisions which need to be rectified,"" he observed. The PML-N leader said that the coalition government was strong. ""The person who wants to talk to us should come to the assembly,"" he added. He said that Nawaz Sharif will himself decide about his return."
"December 1, 2022",PM Shehbaz Sharif reassures unwavering support to eradicate polio from Pakistan,https://92newshd.tv/about/pm-shehbaz-sharif-reassures-unwavering-support-to-eradicate-polio-from-pakistan,https://92newshd.tv/wp-content/uploads/2022/12/6301466.webp,"ISLAMABAD (92 News) - Prime Minister Muhammad Shehbaz Sharif has reassured unwavering support and commitment to eradicate polio from Pakistan. He expressed these views in a meeting with a delegation of the Global Polio Eradication Initiative on Thursday. The prime minister thanked the delegation for its untiring efforts regarding polio eradication in Pakistan. He also highlighted the government's efforts which have resulted in containing the spread of the virus to the extent that major parts of the country are now polio free whereby only few pockets are left which are being targeted in the periodic polio campaigns. The prime minister also assured the delegation that the teams in the field are given high-level security and Pakistan will never allow anyone to sabotage this national effort. He directed the Federal Minister for National Health Services, Abdul Qadir Patel to immediately visit Peshawar and synergize efforts with the provincial government's authorities for gearing up efforts to vaccinate children against polio virus, particularly targeting those pockets in Khyber Pakhtunkhwa where polio virus is still present. Dr Christopher Elias conveyed special regards of Bill Gates to the prime minister and informed that Gates is thankful to Prime Minister Shehbaz Sharif for his personal interest to the cause of polio eradication from Pakistan. Country Director, UNICEF briefed the prime minister about the relief efforts in flood hit areas of the country and polio campaigns in those areas. The delegation also lauded the prime minister for keeping the politics aside and working with the provincial governments for polio eradication from the country. The delegation was led by Dr Christopher Elias, Chair Polio Oversight Board and President Global Development Program of Bill and Melinda Gates Foundation and included Regional Director, WHO Dr Ahmed Al-Mandhari, Regional Director, UNICEF, George Laryea-Adjei, Mr. Aziz Memon, National Chair NPPC, Rotary International and officials of the donors and partners of polio eradication program. Federal Minister for National Health Services and Regulations Abdul Qadir Patel was also present."
"December 1, 2022","MQM leaders demand properties from law enforcers, says Farooq Sattar",https://92newshd.tv/about/mqm-leaders-demand-properties-from-law-enforcers-says-farooq-sattar,https://92newshd.tv/wp-content/uploads/2022/12/6301465.webp,"KARACHI (92 News) - MQM forrmer leader Farooq Sattar has said that the MQM leaders demand properties from law enforcers. Addressing a press conference on Thursday, he said that the files of all properties are with him. ""A wrong propaganda was launched against me. I have not sold out a single property of the MQM,"" he clarified. He said that the MQM had seven properties in London and two of them have been sold for Rs400 million. A trust comprising of the MQM properties in Pakistan and abroad should be formed. There should be no case in the London courts regarding the MQM properties,"" he added. Farooq Sattar said that he was not part of the MQM Pakistan and his membership was cancelled in 2018."
"December 1, 2022",Two Palestinians martyred in Israel West Bank raid,https://92newshd.tv/about/two-palestinians-martyred-in-israel-west-bank-raid,https://92newshd.tv/wp-content/uploads/2022/12/6301464.webp,"JENIN, Palestine (AFP) - Israeli forces martyred two Palestinian militants on Thursday during an arrest raid that sparked gun battles in a West Bank stronghold of hardline factions, said Palestinian officials and Israel's army. Muhammad Ayman al-Saadi, 26, and Naim Jamal Zubaidi, 27, were ""martyred by the Israeli occupation bullets at dawn today during its aggression on Jenin camp,"" a Palestinian Health Ministry statement said. Deadly violence has surged in the territory since March, when Israel launched near daily raids following a series of deadly attacks targeting Israelis. Palestinian sources familiar with Islamic Jihad who requested anonymity confirmed Saadi was a member of the group. Zubaidi belonged to a prominent Jenin family whose relatives have been targeted by Israeli forces over alleged militant ties. Jenin is a stronghold of militant factions in the West Bank, a territory occupied by Israel since the Six-Day War of 1967."
"December 1, 2022",PM Shehbaz Sharif congratulates CJCSC Sahir Shamshad Mirza on assuming office,https://92newshd.tv/about/pm-shehbaz-sharif-congratulates-cjcsc-sahir-shamshad-mirza-on-assuming-office,https://92newshd.tv/wp-content/uploads/2022/12/6301462.webp,"ISLAMABAD (92 News) - Chairman Joint Chiefs of Staff Committee General Sahir Shamshad Mirza called on Prime Minister Shehbaz Sharif at PM House on Thursday. The prime minister congratulated the CJCSC on assuming his office. Calling the Pakistan Army a precious national asset, the prime minister said the leadership of the two most competent officers would further strengthen the country’s defence. During the meeting, they discussed the solidarity and security of the country. They also discussed matters pertaining to professionalism of the Pak Army."
"December 1, 2022","Punjab CM Ch Parvez Elahi, Imran Khan discuss dissolution of Punjab Assembly",https://92newshd.tv/about/punjab-cm-ch-parvez-elahi-imran-khan-discuss-dissolution-of-punjab-assembly,https://92newshd.tv/wp-content/uploads/2022/12/6301461.webp,"LAHORE (92 News) - Punjab Chief Minister Chaudhary Parvez Elahi called on PTI chairman Imran Khan at Zaman Park on Thursday. During the meeting, they discussed several important issues, including dissolution of the Punjab Assembly. They also reviewed in detail in the Rules of Procedure of the Punjab Assembly. They resolved to face each unconstitutional act of the opposition. The technical aspects of the Punjab Assembly's rules and regulations were also discussed during the meeting. Speaking on the occasion, PTI chairman Imran Khan said that the coterie of thieves has destroyed the economy of the country. Chaudahry Parvez Elahi said that there will be no delay in the dissolution of the Punjab Assembly after the order of Imran Khan. ""The position of the Punjab CM is a slot is a trust from Imran Khan. We fully support the person whom we support. We are with Imran Khan and will support him in each decision. Those creating misconceptions will fail like the past,"" he declared. The Punjab chief minister said that Imran Khan is part and parcel for Pakistan. ""The governor's rule cannot be imposed when the Punjab Assembly session is underway,"" he declared. He said that the PDM is reaping what it sowed."
"December 1, 2022",Hina Rabbani Khar apprises PM Shehbaz Sharif of recent Afghanistan visit,https://92newshd.tv/about/hina-rabbani-khar-apprises-pm-shehbaz-sharif-on-recent-afghanistan-visit,https://92newshd.tv/wp-content/uploads/2022/12/6301460.webp,"ISLAMABAD (APP) - Minister of State for Foreign Affairs Hina Rabbani Khar called on Prime Minister Shehbaz Sharif and apprised him about her recent visit to Afghanistan on Thursday. Khar, who paid a day-long official visit to Kabul on Tuesday, informed the prime minister about the outcome of her meetings with the interim Afghan leadership. Shehbaz Sharif said Pakistan desired a peaceful Afghanistan and vowed to extend every possible support to the Afghan brethren. He called upon the international community to play its role in improving the situation in Afghanistan as the warn-torn country faced the challenges of economy and security."
